X,Y,OBJECTID,LATITUDE,LONGITUDE,NAME,STATION_TYPE,STATION_ID,STATION_STATUS,LAST_REPORTED,NUM_DOCKS_AVAILABLE,NUM_DOCKS_DISABLED,NUM_BIKES_AVAILABLE,NUM_EBIKES_AVAILABLE,NUM_BIKES_DISABLED,IS_INSTALLED,IS_RETURNING,IS_RENTING,HAS_KIOSK,IOS,ANDROID,ELECTRIC_BIKE_SURCHARGE_WAIVER,EIGHTD_HAS_KEY_DISPENSER,CAPACITY,RENTAL_METHODS,REGION_ID,GIS_LAST_MOD_DTTM,GIS_ID,REGION_NAME
-77.0971323132754,38.8953847834976,28694063,38.895377,-77.09713,Langston Blvd & N Kirkwood St,classic,356,active,2021/11/02 04:11:13+00,10,0,4,0,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",41,2021/11/02 16:07:28+00,,"Arlington, VA"
-77.0532322977412,38.8589787778744,28694064,38.858971,-77.05323,Eads St & 15th St S,classic,1,active,2021/11/02 12:16:15+00,4,0,10,0,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",41,2021/11/02 16:07:28+00,,"Arlington, VA"
-77.0492342959218,38.8564327778712,28694065,38.856425,-77.049232,Crystal Dr & 20th St S,classic,3,active,2021/11/02 13:29:45+00,4,0,13,1,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,17,"KEY,CREDITCARD",41,2021/11/02 16:07:28+00,,"Arlington, VA"
-77.0494192970383,38.8610637782827,28694066,38.861056,-77.049417,Crystal Dr & 15th St S,classic,4,active,2021/11/02 14:50:25+00,2,0,13,0,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,16,"KEY,CREDITCARD",41,2021/11/02 16:07:28+00,,"Arlington, VA"
-77.0594922990823,38.857873777492,28694067,38.857866,-77.05949,Aurora Hills Cmty Ctr / 18th St & S Hayes St,classic,5,active,2021/11/02 13:03:16+00,11,0,1,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,12,"KEY,CREDITCARD",41,2021/11/02 16:07:28+00,,"Arlington, VA"
-77.0599383003343,38.8623107785478,28694068,38.862303,-77.059936,Pentagon City Metro / 12th St & S Hayes St,classic,6,active,2021/11/02 14:38:48+00,7,0,11,1,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,18,"KEY,CREDITCARD",41,2021/11/02 16:07:28+00,,"Arlington, VA"
-77.0634183010105,38.8633217785476,28694069,38.863314,-77.063416,Army Navy Dr & S Joyce St,classic,7,active,2021/11/02 14:30:13+00,14,0,2,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,16,"KEY,CREDITCARD",41,2021/11/02 16:07:28+00,,"Arlington, VA"
-77.0517002966725,38.8577927782021,28694070,38.857785,-77.051698,Crystal City Metro / 18th St & S Bell St,classic,8,active,2021/11/02 13:49:23+00,6,0,13,1,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",41,2021/11/02 16:07:28+00,,"Arlington, VA"
-77.0515162967461,38.8484737756684,28694071,38.848466,-77.051514,Crystal Dr & 27th St S,classic,10,active,2021/11/02 11:27:11+00,7,0,3,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"KEY,CREDITCARD",41,2021/11/02 16:07:28+00,,"Arlington, VA"
-77.0502022957886,38.8426077746293,28694072,38.8426,-77.0502,S Glebe Rd & Potomac Ave,classic,11,active,2021/11/02 13:31:28+00,8,0,3,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"KEY,CREDITCARD",41,2021/11/02 16:07:28+00,,"Arlington, VA"
